epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,2000.84,0.99706,1.73496,0.82569,1.21087,0.86754,0.82927,0.91127,0.65089,0.87808,0.82342,0.90859,0.60913,1.02163,1.64945,0.70981,1.25968,0.008383,0.008383,0.008383
51,2033.44,1.00614,1.75964,0.8334,1.21304,0.87324,0.84553,0.91194,0.65078,0.8814,0.84964,0.91391,0.60817,1.02767,1.65265,0.69406,1.26255,0.00835,0.00835,0.00835
52,2065.7,0.98095,1.71825,0.80125,1.19593,0.88767,0.83119,0.91743,0.65393,0.88989,0.83079,0.91561,0.61156,1.00951,1.63579,0.68426,1.25356,0.008317,0.008317,0.008317
53,2098.5,0.9805,1.7104,0.79285,1.19072,0.89127,0.82978,0.91603,0.66185,0.89509,0.83333,0.91471,0.61325,0.99795,1.62055,0.67673,1.25015,0.008284,0.008284,0.008284
54,2131.65,0.98873,1.7248,0.80362,1.19708,0.89789,0.82215,0.92016,0.65971,0.88492,0.8401,0.91545,0.6144,1.00138,1.64972,0.67429,1.25051,0.008251,0.008251,0.008251
55,2164.44,0.97059,1.70089,0.78125,1.18588,0.88305,0.84791,0.92591,0.66068,0.897,0.84517,0.9248,0.6215,1.0099,1.58618,0.66475,1.25453,0.008218,0.008218,0.008218
56,2196.56,0.96604,1.68841,0.7731,1.18535,0.86611,0.84451,0.91713,0.65471,0.88586,0.83283,0.91795,0.61654,1.002,1.60967,0.68524,1.24571,0.008185,0.008185,0.008185
57,2228.75,0.9698,1.7262,0.78279,1.18739,0.87173,0.85297,0.91634,0.66253,0.87764,0.85823,0.92186,0.61822,0.98382,1.60398,0.67734,1.22549,0.008152,0.008152,0.008152
58,2261.3,0.96899,1.69456,0.77272,1.18843,0.90244,0.82165,0.92268,0.67276,0.89925,0.83906,0.9235,0.63167,0.97939,1.56479,0.65296,1.22333,0.008119,0.008119,0.008119
59,2293.95,0.97222,1.71472,0.77933,1.18733,0.90083,0.83841,0.92454,0.67168,0.90571,0.83947,0.92424,0.62757,0.96977,1.59974,0.65806,1.21629,0.008086,0.008086,0.008086
60,2326.97,0.96675,1.69544,0.77213,1.18554,0.91134,0.83046,0.92555,0.68166,0.91413,0.833,0.92632,0.63581,0.94572,1.56002,0.63602,1.20472,0.008053,0.008053,0.008053
61,2359.65,0.94529,1.66783,0.75355,1.17232,0.91412,0.85569,0.93301,0.68396,0.91649,0.8588,0.93229,0.63992,0.95353,1.55074,0.62885,1.20905,0.00802,0.00802,0.00802
62,2392.33,0.95606,1.69883,0.76224,1.17786,0.90584,0.84573,0.92969,0.67902,0.91468,0.84502,0.92919,0.63208,0.97275,1.56419,0.63303,1.22062,0.007987,0.007987,0.007987
63,2424.29,0.94038,1.65684,0.74389,1.16889,0.90244,0.84045,0.92705,0.6811,0.90653,0.84146,0.92909,0.63912,0.95377,1.54144,0.62712,1.20646,0.007954,0.007954,0.007954
64,2456.34,0.95326,1.67542,0.75463,1.17498,0.90663,0.85925,0.93869,0.68835,0.90959,0.8623,0.93606,0.63983,0.95664,1.55943,0.61892,1.20906,0.007921,0.007921,0.007921
65,2489.11,0.94362,1.66856,0.73605,1.16509,0.91487,0.85213,0.935,0.68482,0.91051,0.84789,0.92778,0.64069,0.95816,1.55198,0.60766,1.20084,0.007888,0.007888,0.007888
66,2521.62,0.93152,1.65069,0.73509,1.16085,0.9082,0.86687,0.94019,0.69236,0.91033,0.8689,0.9404,0.64348,0.95167,1.52623,0.60369,1.1962,0.007855,0.007855,0.007855
67,2553.72,0.92965,1.64128,0.72575,1.16247,0.9125,0.85311,0.93554,0.69161,0.91635,0.85718,0.93682,0.6429,0.95104,1.53242,0.60136,1.1951,0.007822,0.007822,0.007822
68,2586.25,0.92998,1.64933,0.72961,1.16432,0.90796,0.86738,0.93803,0.69506,0.9074,0.86637,0.93556,0.64711,0.94069,1.52902,0.60902,1.18786,0.007789,0.007789,0.007789
69,2618.85,0.92475,1.63635,0.72922,1.15203,0.91038,0.86992,0.94027,0.70167,0.91205,0.86946,0.93957,0.65228,0.92428,1.4921,0.5853,1.17892,0.007756,0.007756,0.007756
70,2651.21,0.93247,1.63171,0.72126,1.15241,0.90597,0.85184,0.93632,0.69929,0.91271,0.85537,0.94016,0.65176,0.91702,1.49532,0.60729,1.17008,0.007723,0.007723,0.007723
71,2684.1,0.92523,1.62822,0.7154,1.15546,0.89084,0.87084,0.93613,0.69948,0.89071,0.87348,0.9344,0.64566,0.91664,1.52186,0.59053,1.17266,0.00769,0.00769,0.00769
72,2716.13,0.90786,1.61397,0.70992,1.14468,0.90719,0.87416,0.94042,0.70279,0.90798,0.87398,0.93777,0.64977,0.91481,1.52301,0.58569,1.17985,0.007657,0.007657,0.007657
73,2748.7,0.90633,1.61616,0.69227,1.14201,0.91963,0.875,0.94672,0.70959,0.91963,0.875,0.94358,0.65659,0.90824,1.49481,0.57425,1.16786,0.007624,0.007624,0.007624
74,2785.97,0.91163,1.61552,0.71006,1.14411,0.90275,0.86839,0.94197,0.70617,0.91772,0.85772,0.93954,0.65465,0.91547,1.51675,0.58472,1.17307,0.007591,0.007591,0.007591
75,2819.21,0.91721,1.6285,0.70486,1.14921,0.91773,0.86636,0.94194,0.70902,0.91988,0.86839,0.94023,0.65429,0.90718,1.48554,0.57841,1.16607,0.007558,0.007558,0.007558
76,2852.09,0.91247,1.59633,0.70635,1.14481,0.93378,0.86331,0.94512,0.71329,0.92812,0.8689,0.9457,0.6606,0.8991,1.46871,0.5562,1.15642,0.007525,0.007525,0.007525
77,2885.15,0.90819,1.60704,0.70547,1.14389,0.92815,0.86643,0.94491,0.71627,0.93151,0.87079,0.94451,0.66449,0.88486,1.46091,0.56164,1.14283,0.007492,0.007492,0.007492
78,2918.52,0.90119,1.60987,0.68581,1.13705,0.92162,0.85976,0.94299,0.71113,0.93012,0.86577,0.94722,0.6615,0.90362,1.47877,0.5776,1.16782,0.007459,0.007459,0.007459
79,2952,0.90735,1.62449,0.69635,1.14132,0.91723,0.89534,0.95414,0.72438,0.9214,0.89941,0.95572,0.67293,0.88233,1.46134,0.54087,1.14174,0.007426,0.007426,0.007426
80,2985.13,0.88818,1.59502,0.67971,1.14126,0.92476,0.88062,0.95238,0.71986,0.92892,0.88262,0.95175,0.66753,0.88406,1.46579,0.55148,1.14947,0.007393,0.007393,0.007393
81,3016.97,0.88875,1.59093,0.68122,1.13568,0.92699,0.87398,0.95347,0.71965,0.93005,0.87831,0.9552,0.66733,0.88132,1.45621,0.55608,1.14751,0.00736,0.00736,0.00736
