epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,4559.54,0.8085,1.46443,0.58457,1.08422,0.94973,0.92276,0.97088,0.77149,0.9501,0.92429,0.97143,0.71019,0.7814,1.31218,0.44759,1.07222,0.006238,0.006238,0.006238
116,4614.87,0.81329,1.46215,0.59208,1.08411,0.95179,0.91819,0.96834,0.77146,0.94882,0.92327,0.96921,0.7144,0.77963,1.314,0.44561,1.06951,0.006205,0.006205,0.006205
117,4670.1,0.80994,1.46254,0.5873,1.08407,0.95259,0.92073,0.97271,0.77488,0.95207,0.91845,0.97068,0.71574,0.77123,1.30778,0.44419,1.06354,0.006172,0.006172,0.006172
118,4725.38,0.80572,1.46806,0.59021,1.08005,0.95431,0.92326,0.97374,0.77931,0.95766,0.92327,0.97207,0.71881,0.75823,1.29275,0.43927,1.05287,0.006139,0.006139,0.006139
119,4780.85,0.79861,1.46262,0.57939,1.07627,0.94621,0.92964,0.97108,0.77716,0.95102,0.9275,0.97006,0.71643,0.76258,1.29407,0.44369,1.05493,0.006106,0.006106,0.006106
120,4836.66,0.79504,1.45583,0.58513,1.07588,0.95286,0.92429,0.97174,0.77797,0.95335,0.92422,0.97177,0.71979,0.76344,1.29265,0.43495,1.06067,0.006073,0.006073,0.006073
121,4891.9,0.79878,1.45723,0.57676,1.07494,0.96035,0.91768,0.97245,0.77527,0.96311,0.91921,0.97156,0.71871,0.76397,1.2929,0.43639,1.05904,0.00604,0.00604,0.00604
122,4947.41,0.80137,1.45982,0.57893,1.07787,0.95486,0.92438,0.97137,0.77556,0.95406,0.9248,0.97026,0.71853,0.76133,1.28751,0.43814,1.05349,0.006007,0.006007,0.006007
123,5002.87,0.79381,1.45148,0.57842,1.07555,0.95876,0.9214,0.97112,0.7788,0.95982,0.92242,0.97166,0.71972,0.75483,1.28831,0.43383,1.0573,0.005974,0.005974,0.005974
124,5058.4,0.80071,1.44652,0.57941,1.0767,0.95825,0.92581,0.97365,0.77984,0.96193,0.92937,0.97427,0.72093,0.75528,1.28005,0.43325,1.05497,0.005941,0.005941,0.005941
125,5113.85,0.79805,1.45282,0.57927,1.0782,0.95012,0.93648,0.97353,0.7824,0.95596,0.93445,0.97535,0.72589,0.75726,1.26712,0.43484,1.05338,0.005908,0.005908,0.005908
126,5169.21,0.79485,1.44332,0.5745,1.0745,0.95605,0.9396,0.97525,0.7832,0.95544,0.9369,0.97445,0.72563,0.75447,1.2676,0.42952,1.05302,0.005875,0.005875,0.005875
127,5224.46,0.78787,1.42846,0.57289,1.06495,0.95342,0.93852,0.97426,0.78537,0.95417,0.93852,0.97581,0.72846,0.74982,1.26814,0.42517,1.05014,0.005842,0.005842,0.005842
