epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1824.89,0.92817,1.64858,0.73608,1.15628,0.91641,0.86342,0.94432,0.69524,0.92911,0.85909,0.94451,0.65265,0.94651,1.50279,0.59144,1.20805,0.008152,0.008152,0.008152
58,1857.86,0.92546,1.62182,0.7232,1.15535,0.92076,0.84604,0.93531,0.6875,0.89468,0.86585,0.93317,0.6402,0.9415,1.54985,0.62317,1.19713,0.008119,0.008119,0.008119
59,1889.06,0.92785,1.63801,0.72712,1.15503,0.91668,0.86652,0.94514,0.7004,0.92132,0.86941,0.94492,0.64898,0.92873,1.52476,0.59465,1.18315,0.008086,0.008086,0.008086
60,1920.43,0.92647,1.62749,0.72435,1.15629,0.89574,0.87315,0.93835,0.6954,0.91739,0.85767,0.94073,0.64723,0.92287,1.49902,0.60525,1.17013,0.008053,0.008053,0.008053
61,1951.93,0.90654,1.58959,0.7079,1.14287,0.92127,0.86815,0.94868,0.70728,0.92451,0.8712,0.94794,0.65648,0.90665,1.49485,0.57843,1.1685,0.00802,0.00802,0.00802
62,1983.38,0.91303,1.61578,0.71329,1.14806,0.91991,0.8696,0.9483,0.70842,0.92797,0.87722,0.95098,0.65634,0.91091,1.47713,0.56869,1.16928,0.007987,0.007987,0.007987
63,2014.74,0.89778,1.58089,0.6894,1.13954,0.92006,0.87137,0.94469,0.70752,0.92864,0.8689,0.94435,0.65721,0.90347,1.47025,0.57951,1.16383,0.007954,0.007954,0.007954
64,2045.92,0.90903,1.61093,0.70651,1.14343,0.91855,0.87602,0.95199,0.71508,0.91971,0.87896,0.95252,0.66226,0.89694,1.46783,0.57079,1.15115,0.007921,0.007921,0.007921
65,2077.28,0.9041,1.59283,0.69963,1.13926,0.9057,0.89314,0.95084,0.71628,0.9088,0.89618,0.95334,0.66887,0.89887,1.46349,0.56505,1.15724,0.007888,0.007888,0.007888
66,2108.94,0.88913,1.57952,0.68619,1.13117,0.94163,0.86895,0.95861,0.72505,0.9439,0.87197,0.95817,0.67398,0.88972,1.45137,0.54038,1.15639,0.007855,0.007855,0.007855
67,2140.51,0.89203,1.56518,0.68382,1.13574,0.93153,0.89181,0.95738,0.72645,0.93627,0.8872,0.95529,0.67188,0.87422,1.43957,0.54269,1.14573,0.007822,0.007822,0.007822
68,2171.81,0.88371,1.57575,0.68921,1.13494,0.92142,0.88177,0.95164,0.72226,0.92239,0.88175,0.95079,0.66694,0.88011,1.45904,0.55174,1.14959,0.007789,0.007789,0.007789
69,2203,0.88185,1.56347,0.68355,1.12613,0.9183,0.89096,0.95395,0.72192,0.92095,0.89278,0.95356,0.67051,0.88182,1.43532,0.55484,1.14191,0.007756,0.007756,0.007756
70,2234.73,0.8877,1.55537,0.68122,1.12355,0.91617,0.8885,0.95552,0.72748,0.92086,0.88974,0.95574,0.67204,0.88254,1.43766,0.55569,1.1444,0.007723,0.007723,0.007723
71,2266.06,0.88705,1.56089,0.67036,1.12748,0.92546,0.88959,0.95542,0.72424,0.92386,0.88781,0.95362,0.6709,0.87558,1.43444,0.54522,1.13156,0.00769,0.00769,0.00769
72,2297.13,0.8671,1.54456,0.66643,1.11753,0.9353,0.89126,0.95737,0.7343,0.9369,0.89278,0.958,0.67967,0.87703,1.42778,0.52785,1.1408,0.007657,0.007657,0.007657
73,2328.23,0.86261,1.5467,0.64881,1.11271,0.93571,0.88751,0.95579,0.7331,0.93969,0.89482,0.95812,0.68119,0.86601,1.41791,0.53469,1.13334,0.007624,0.007624,0.007624
74,2359.58,0.86808,1.53924,0.66667,1.11197,0.93901,0.87805,0.95787,0.73476,0.94586,0.87884,0.95875,0.67873,0.85975,1.42932,0.52738,1.13216,0.007591,0.007591,0.007591
