epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2412,0.98521,1.72012,0.79851,1.21225,0.87863,0.83587,0.905,0.64216,0.89226,0.83318,0.90882,0.59785,1.03824,1.66936,0.69692,1.29358,0.0016502,0.0016502,0.0016502
55,2455.63,0.96685,1.70374,0.78331,1.19971,0.88177,0.8186,0.90593,0.64826,0.88503,0.82536,0.90618,0.60308,1.03166,1.6373,0.69286,1.28841,0.0016436,0.0016436,0.0016436
56,2499.3,0.94518,1.6725,0.74877,1.18666,0.87409,0.84502,0.91473,0.6565,0.88009,0.84502,0.91716,0.61396,1.00432,1.60784,0.67302,1.25974,0.001637,0.001637,0.001637
57,2543.96,0.96665,1.71839,0.77783,1.20016,0.87627,0.83487,0.91523,0.65985,0.89044,0.82592,0.91312,0.61719,0.99895,1.59609,0.67462,1.2501,0.0016304,0.0016304,0.0016304
58,2587.83,0.9561,1.70077,0.77032,1.19878,0.88603,0.82167,0.91012,0.65449,0.89107,0.81468,0.90919,0.60882,1.01555,1.63219,0.67762,1.26758,0.0016238,0.0016238,0.0016238
59,2631.55,0.96631,1.70907,0.77519,1.20296,0.87997,0.84932,0.91995,0.67068,0.88736,0.84909,0.91984,0.62365,0.96859,1.58079,0.66015,1.228,0.0016172,0.0016172,0.0016172
60,2675.53,0.94858,1.67109,0.74902,1.18956,0.8956,0.81911,0.91738,0.67222,0.90057,0.81555,0.91491,0.62603,0.95481,1.55767,0.67466,1.21731,0.0016106,0.0016106,0.0016106
61,2719.33,0.93374,1.66397,0.74571,1.1862,0.90375,0.81589,0.91647,0.66443,0.9163,0.81809,0.91554,0.61771,0.98407,1.60799,0.6569,1.25188,0.001604,0.001604,0.001604
62,2762.78,0.92846,1.66548,0.74208,1.17867,0.8879,0.83994,0.92126,0.6787,0.89063,0.83892,0.91868,0.62334,0.96094,1.58889,0.63279,1.22238,0.0015974,0.0015974,0.0015974
63,2806.65,0.92892,1.65684,0.74416,1.17776,0.88302,0.84299,0.9181,0.67428,0.88515,0.84502,0.91962,0.62828,0.9626,1.57594,0.64037,1.22151,0.0015908,0.0015908,0.0015908
64,2851.62,0.94597,1.68144,0.76195,1.19092,0.90119,0.83181,0.91533,0.66909,0.89812,0.83762,0.91592,0.62062,0.98062,1.57878,0.65131,1.23766,0.0015842,0.0015842,0.0015842
65,2895.36,0.92206,1.6492,0.72263,1.1708,0.92042,0.81105,0.92083,0.68238,0.90741,0.83166,0.92211,0.63642,0.9378,1.55368,0.6237,1.2113,0.0015776,0.0015776,0.0015776
66,2938.98,0.91429,1.6232,0.71334,1.16674,0.88192,0.82825,0.9132,0.67186,0.88782,0.83333,0.91382,0.62166,0.97655,1.57711,0.64115,1.23541,0.001571,0.001571,0.001571
67,2982.54,0.92352,1.64581,0.7237,1.17584,0.90136,0.83575,0.92073,0.68298,0.90503,0.83435,0.92263,0.63511,0.94439,1.55175,0.63486,1.21462,0.0015644,0.0015644,0.0015644
68,3025.91,0.93623,1.6642,0.73749,1.18591,0.89988,0.84495,0.92669,0.68695,0.9055,0.84604,0.92674,0.63817,0.94614,1.54613,0.61745,1.20674,0.0015578,0.0015578,0.0015578
69,3069.76,0.91307,1.64212,0.7312,1.16089,0.89984,0.84907,0.92599,0.6862,0.90622,0.84553,0.92398,0.63353,0.94225,1.55095,0.61637,1.2095,0.0015512,0.0015512,0.0015512
70,3114.05,0.9187,1.61662,0.7097,1.16073,0.89333,0.84683,0.92648,0.68617,0.89601,0.84937,0.92536,0.63987,0.9452,1.5379,0.63334,1.21167,0.0015446,0.0015446,0.0015446
71,3158.28,0.92564,1.62644,0.71366,1.17289,0.89506,0.85379,0.92862,0.69031,0.8984,0.8627,0.9312,0.64163,0.93653,1.53998,0.60924,1.20182,0.001538,0.001538,0.001538
72,3201.89,0.89943,1.60734,0.7079,1.15939,0.88085,0.85213,0.92458,0.689,0.88716,0.85496,0.92672,0.64132,0.93854,1.53531,0.62933,1.20884,0.0015314,0.0015314,0.0015314
73,3245.61,0.89626,1.60616,0.69463,1.15532,0.90204,0.85722,0.92936,0.68867,0.90603,0.86128,0.93209,0.64512,0.95115,1.53623,0.60911,1.21432,0.0015248,0.0015248,0.0015248
74,3289.27,0.89336,1.60029,0.70871,1.14967,0.90468,0.84875,0.92941,0.69494,0.91498,0.85854,0.93352,0.64665,0.93251,1.50694,0.60995,1.19835,0.0015182,0.0015182,0.0015182
75,3332.9,0.89658,1.59101,0.69408,1.1551,0.92139,0.85264,0.93565,0.69877,0.92611,0.85366,0.93517,0.65236,0.92951,1.4996,0.59069,1.20246,0.0015116,0.0015116,0.0015116
76,3377.01,0.89401,1.58538,0.6928,1.15343,0.90891,0.86331,0.9345,0.70052,0.91232,0.86789,0.93664,0.65271,0.92041,1.50795,0.58479,1.19353,0.001505,0.001505,0.001505
77,3420.97,0.8985,1.60687,0.70444,1.15712,0.90838,0.85518,0.93607,0.69968,0.91399,0.85671,0.93466,0.6535,0.91082,1.48626,0.59493,1.17917,0.0014984,0.0014984,0.0014984
78,3464.55,0.887,1.60378,0.68767,1.14571,0.90411,0.85756,0.93585,0.70302,0.91107,0.86416,0.93854,0.65851,0.9158,1.47932,0.58541,1.18762,0.0014918,0.0014918,0.0014918
79,3507.74,0.875,1.57808,0.67018,1.13919,0.92205,0.87155,0.94457,0.7109,0.92259,0.87206,0.94363,0.66485,0.89866,1.46253,0.55769,1.16921,0.0014852,0.0014852,0.0014852
80,3550.66,0.87579,1.56316,0.66904,1.14226,0.89598,0.87449,0.93606,0.69519,0.89655,0.87957,0.93929,0.65375,0.92801,1.48209,0.59247,1.19727,0.0014786,0.0014786,0.0014786
81,3593.26,0.86545,1.57191,0.66216,1.13775,0.93898,0.85925,0.9429,0.71844,0.93654,0.86382,0.94214,0.66628,0.88601,1.47039,0.55653,1.15785,0.001472,0.001472,0.001472
82,3636.53,0.86682,1.5664,0.65843,1.13546,0.91563,0.87132,0.94241,0.71909,0.9149,0.87297,0.94122,0.66407,0.87664,1.46041,0.55131,1.15827,0.0014654,0.0014654,0.0014654
83,3679.76,0.88328,1.58751,0.66842,1.14173,0.91391,0.86852,0.942,0.71618,0.91664,0.87246,0.94255,0.66457,0.88188,1.46144,0.57014,1.15227,0.0014588,0.0014588,0.0014588
84,3722.79,0.85524,1.55469,0.65531,1.13007,0.93523,0.86128,0.94112,0.71679,0.93773,0.86469,0.94445,0.6651,0.88382,1.47668,0.56293,1.16425,0.0014522,0.0014522,0.0014522
85,3765.59,0.86301,1.54769,0.64874,1.13346,0.93147,0.87022,0.9488,0.71913,0.93052,0.88161,0.9514,0.66964,0.8859,1.43647,0.54114,1.16574,0.0014456,0.0014456,0.0014456
86,3808.71,0.86833,1.55241,0.65427,1.1383,0.92889,0.87043,0.9463,0.72486,0.94136,0.86839,0.94518,0.67026,0.86789,1.44641,0.54511,1.14851,0.001439,0.001439,0.001439
87,3852.61,0.8557,1.53142,0.64462,1.13138,0.92267,0.87908,0.94767,0.7205,0.92451,0.88059,0.94489,0.66888,0.88368,1.45421,0.5415,1.16222,0.0014324,0.0014324,0.0014324
88,3895.99,0.85292,1.54502,0.64187,1.12404,0.92596,0.8706,0.94306,0.72383,0.92704,0.87155,0.94333,0.66914,0.87303,1.45596,0.54161,1.15342,0.0014258,0.0014258,0.0014258
89,3939.37,0.85591,1.54397,0.65324,1.12926,0.93265,0.86738,0.94787,0.72728,0.93606,0.8703,0.94749,0.67191,0.86739,1.43607,0.53747,1.14706,0.0014192,0.0014192,0.0014192
90,3982.3,0.86059,1.52953,0.64533,1.12746,0.92478,0.8808,0.94515,0.72429,0.92849,0.88411,0.94499,0.67686,0.86093,1.45038,0.53682,1.14814,0.0014126,0.0014126,0.0014126
91,4025.53,0.86291,1.54475,0.66366,1.12975,0.92261,0.88465,0.94918,0.7293,0.91908,0.89482,0.94593,0.67235,0.8632,1.43983,0.52935,1.13975,0.001406,0.001406,0.001406
92,4068.36,0.84338,1.52298,0.63275,1.12458,0.93021,0.88728,0.94834,0.73772,0.93179,0.88974,0.94781,0.6822,0.84408,1.43198,0.5199,1.13023,0.0013994,0.0013994,0.0013994
93,4111.39,0.8327,1.52124,0.62646,1.11236,0.92203,0.88364,0.94929,0.73588,0.93111,0.88161,0.95029,0.68462,0.85278,1.41081,0.51868,1.13492,0.0013928,0.0013928,0.0013928
94,4154.71,0.84422,1.53078,0.63459,1.12192,0.92608,0.88484,0.95098,0.73646,0.92874,0.88738,0.95063,0.68516,0.84186,1.41498,0.51448,1.13071,0.0013862,0.0013862,0.0013862
95,4197.5,0.84268,1.51818,0.64577,1.11463,0.93377,0.88119,0.95176,0.7402,0.93377,0.88119,0.9513,0.68808,0.83569,1.39538,0.51272,1.12453,0.0013796,0.0013796,0.0013796
96,4242.77,0.84238,1.51318,0.63555,1.11808,0.92576,0.89228,0.95289,0.74278,0.92812,0.89533,0.95388,0.68934,0.83028,1.40671,0.51486,1.12253,0.001373,0.001373,0.001373
97,4287.71,0.8217,1.49774,0.60537,1.10522,0.94242,0.88161,0.95366,0.74327,0.94514,0.88415,0.95448,0.69257,0.81686,1.37737,0.51065,1.1099,0.0013664,0.0013664,0.0013664
98,4331.72,0.81954,1.48834,0.60999,1.10578,0.92902,0.89789,0.95361,0.7455,0.92931,0.8951,0.95243,0.68788,0.8213,1.39019,0.50248,1.11284,0.0013598,0.0013598,0.0013598
99,4375.33,0.81967,1.4815,0.6072,1.10189,0.92987,0.9028,0.953,0.75072,0.93144,0.90433,0.95232,0.69172,0.81086,1.38502,0.49745,1.10727,0.0013532,0.0013532,0.0013532
100,4418.15,0.83051,1.49562,0.6172,1.11196,0.93729,0.88862,0.95645,0.75101,0.93995,0.89081,0.95652,0.69621,0.81121,1.37271,0.49986,1.10585,0.0013466,0.0013466,0.0013466
101,4460.88,0.81324,1.4718,0.59725,1.10274,0.9481,0.88821,0.95733,0.75311,0.94973,0.88974,0.95782,0.69777,0.81005,1.36387,0.48536,1.10825,0.00134,0.00134,0.00134
102,4503.52,0.82949,1.49636,0.6117,1.10664,0.93879,0.8938,0.95534,0.75095,0.94218,0.89075,0.95591,0.69483,0.81531,1.36248,0.49082,1.10305,0.0013334,0.0013334,0.0013334
103,4546.51,0.82469,1.4899,0.62168,1.10464,0.93055,0.89583,0.9553,0.74974,0.92992,0.89677,0.95366,0.69442,0.81409,1.37212,0.48525,1.1078,0.0013268,0.0013268,0.0013268
104,4589.19,0.81754,1.4775,0.60794,1.1019,0.9273,0.89634,0.95481,0.75258,0.93098,0.8999,0.95414,0.6965,0.81681,1.36958,0.48902,1.10829,0.0013202,0.0013202,0.0013202
105,4631.69,0.81103,1.47309,0.59977,1.09601,0.93518,0.8944,0.95757,0.75325,0.93943,0.89847,0.958,0.69606,0.81351,1.37807,0.48449,1.10839,0.0013136,0.0013136,0.0013136
106,4674.25,0.80123,1.451,0.59294,1.09691,0.93976,0.89787,0.95757,0.75695,0.9405,0.89956,0.95664,0.69769,0.80665,1.36134,0.48307,1.10218,0.001307,0.001307,0.001307
107,4717.47,0.78949,1.43964,0.57848,1.08795,0.93331,0.91022,0.96052,0.76556,0.93435,0.91124,0.95868,0.70332,0.79491,1.35961,0.46722,1.09144,0.0013004,0.0013004,0.0013004
108,4761.06,0.78756,1.44974,0.57936,1.0843,0.94049,0.89939,0.96059,0.76379,0.94315,0.90193,0.96082,0.70337,0.79374,1.35791,0.48281,1.09195,0.0012938,0.0012938,0.0012938
109,4803.96,0.8154,1.46862,0.5993,1.0935,0.94334,0.89787,0.95997,0.7601,0.94441,0.89888,0.96097,0.70187,0.80642,1.35537,0.46982,1.09669,0.0012872,0.0012872,0.0012872
110,4847.14,0.80286,1.4649,0.58841,1.0903,0.94168,0.8877,0.95518,0.75841,0.94326,0.88693,0.95565,0.70251,0.79999,1.35545,0.47973,1.09398,0.0012806,0.0012806,0.0012806
111,4891.22,0.79977,1.45981,0.57793,1.09285,0.94673,0.89482,0.95934,0.76112,0.9388,0.90346,0.95793,0.70134,0.79639,1.35517,0.47275,1.09724,0.001274,0.001274,0.001274
