epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1451.25,1.06387,1.84475,0.8955,1.26616,0.80787,0.76277,0.84565,0.55997,0.81018,0.7688,0.83981,0.52339,1.16061,1.8709,0.89183,1.38443,0.001736,0.001736,0.001736
42,1484.76,1.05648,1.84967,0.90106,1.26032,0.84766,0.76423,0.86379,0.5796,0.84993,0.77127,0.86566,0.5509,1.14957,1.81537,0.8596,1.38905,0.0017294,0.0017294,0.0017294
43,1519.03,1.04905,1.85326,0.89013,1.25624,0.86857,0.7757,0.8813,0.60975,0.87135,0.77998,0.88195,0.57417,1.07211,1.7213,0.80223,1.31819,0.0017228,0.0017228,0.0017228
44,1553.65,1.0537,1.84179,0.88522,1.25314,0.83968,0.76829,0.86248,0.59583,0.85209,0.77283,0.86644,0.55541,1.11472,1.79311,0.82945,1.36033,0.0017162,0.0017162,0.0017162
45,1587.09,1.04074,1.8376,0.86909,1.24987,0.84819,0.79065,0.88244,0.61419,0.859,0.79421,0.88513,0.57594,1.07501,1.71723,0.78302,1.31958,0.0017096,0.0017096,0.0017096
46,1620.72,1.02967,1.83432,0.87156,1.24337,0.86075,0.78811,0.87819,0.60661,0.87111,0.79421,0.8821,0.56755,1.10042,1.77507,0.79567,1.34697,0.001703,0.001703,0.001703
47,1654.31,1.0461,1.82797,0.88429,1.24453,0.85618,0.79856,0.88701,0.60935,0.86578,0.79472,0.88516,0.57289,1.10126,1.73123,0.78955,1.34842,0.0016964,0.0016964,0.0016964
48,1687.6,1.01627,1.79505,0.85055,1.23957,0.84005,0.79675,0.883,0.60868,0.84672,0.80183,0.88269,0.56694,1.10328,1.80551,0.8013,1.33407,0.0016898,0.0016898,0.0016898
49,1720.82,1.02354,1.79875,0.85403,1.23287,0.86809,0.77913,0.88315,0.61102,0.87401,0.78506,0.88566,0.57383,1.10357,1.73208,0.79836,1.33846,0.0016832,0.0016832,0.0016832
50,1753.78,1.01677,1.77775,0.85426,1.23144,0.87127,0.79445,0.89266,0.62462,0.87789,0.80365,0.89294,0.58044,1.04835,1.7388,0.75585,1.29424,0.0016766,0.0016766,0.0016766
51,1786.39,1.02837,1.80352,0.8675,1.23788,0.86892,0.79496,0.8908,0.61722,0.86794,0.7998,0.88989,0.57688,1.06999,1.73163,0.77934,1.31067,0.00167,0.00167,0.00167
52,1819.46,1.0084,1.76498,0.83538,1.22809,0.86431,0.77947,0.89069,0.62431,0.86983,0.79456,0.89177,0.58459,1.05241,1.69769,0.76687,1.30193,0.0016634,0.0016634,0.0016634
53,1852.31,1.00063,1.75024,0.8218,1.21479,0.8618,0.80742,0.89537,0.63491,0.85499,0.81504,0.89638,0.59056,1.05588,1.69809,0.7453,1.31587,0.0016568,0.0016568,0.0016568
54,1886.13,1.01655,1.78038,0.84084,1.22353,0.86677,0.82012,0.90652,0.64484,0.8796,0.81301,0.90421,0.60268,1.03622,1.68219,0.71584,1.29146,0.0016502,0.0016502,0.0016502
55,1920.25,0.99175,1.73698,0.80502,1.20947,0.86439,0.79998,0.89811,0.62578,0.86517,0.80335,0.89777,0.58016,1.0657,1.69006,0.7316,1.31088,0.0016436,0.0016436,0.0016436
56,1955.11,0.98861,1.73093,0.789,1.21005,0.90141,0.80372,0.90176,0.63431,0.90021,0.80677,0.901,0.59201,1.0437,1.66082,0.72972,1.29049,0.001637,0.001637,0.001637
57,1988.62,1.00627,1.77652,0.81985,1.22033,0.87646,0.81453,0.90166,0.63052,0.88585,0.81235,0.90412,0.59266,1.05395,1.667,0.71712,1.3035,0.0016304,0.0016304,0.0016304
58,2023.79,1.00229,1.7537,0.81466,1.21955,0.86033,0.82673,0.90293,0.63902,0.86519,0.82508,0.90202,0.59597,1.0489,1.67539,0.72067,1.29315,0.0016238,0.0016238,0.0016238
59,2059.08,0.99237,1.76164,0.80534,1.21022,0.88565,0.81453,0.90722,0.64214,0.8876,0.82724,0.91109,0.60272,1.0378,1.66994,0.71542,1.28549,0.0016172,0.0016172,0.0016172
60,2093.21,1.00693,1.75603,0.81651,1.21804,0.88148,0.80945,0.90553,0.63705,0.88535,0.81301,0.90626,0.59521,1.06902,1.66833,0.73336,1.30228,0.0016106,0.0016106,0.0016106
61,2127.29,0.9861,1.73048,0.79094,1.20752,0.87267,0.844,0.91972,0.65491,0.87528,0.84517,0.91614,0.60317,1.03831,1.66757,0.69223,1.28313,0.001604,0.001604,0.001604
62,2162.36,0.98223,1.73693,0.793,1.20653,0.88715,0.84289,0.91915,0.65107,0.89103,0.84761,0.918,0.61187,1.02985,1.63053,0.6973,1.26872,0.0015974,0.0015974,0.0015974
63,2197.52,0.98499,1.73868,0.80117,1.20923,0.89478,0.81809,0.91369,0.65586,0.90452,0.82114,0.91583,0.60994,1.01752,1.61592,0.68145,1.27341,0.0015908,0.0015908,0.0015908
64,2232.38,0.98158,1.73643,0.78937,1.20086,0.90643,0.82695,0.92242,0.6611,0.90854,0.83028,0.92292,0.61534,1.01058,1.62116,0.656,1.26455,0.0015842,0.0015842,0.0015842
65,2267.43,0.98054,1.72796,0.77803,1.19559,0.90165,0.83181,0.92002,0.6658,0.90695,0.8374,0.92138,0.62341,0.98611,1.58889,0.66054,1.2461,0.0015776,0.0015776,0.0015776
66,2302.36,0.9684,1.70682,0.7706,1.19239,0.88182,0.83943,0.92448,0.67083,0.90772,0.82472,0.92276,0.62492,0.99595,1.57469,0.64637,1.24773,0.001571,0.001571,0.001571
67,2336.17,0.96383,1.70133,0.77692,1.19451,0.89131,0.84045,0.91764,0.66569,0.89864,0.844,0.92054,0.6189,1.00323,1.59325,0.66858,1.25066,0.0015644,0.0015644,0.0015644
68,2371.27,0.97091,1.71,0.7747,1.20049,0.90588,0.82215,0.92002,0.66772,0.90816,0.8247,0.92053,0.62684,0.99156,1.56898,0.64728,1.2393,0.0015578,0.0015578,0.0015578
