epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3158.18,0.80865,1.44451,0.58082,1.091,0.93829,0.90549,0.96041,0.75638,0.94197,0.90904,0.96423,0.70289,0.79734,1.33298,0.48252,1.09712,0.00769,0.00769,0.00769
72,3200.45,0.7947,1.42502,0.58403,1.08297,0.95497,0.89445,0.95977,0.75912,0.9555,0.89476,0.96086,0.70706,0.80013,1.31193,0.49103,1.10514,0.007657,0.007657,0.007657
73,3242.39,0.79119,1.43281,0.56684,1.08097,0.9496,0.89634,0.95873,0.75578,0.95293,0.89499,0.95882,0.70563,0.80899,1.33026,0.48885,1.10761,0.007624,0.007624,0.007624
74,3284.73,0.79296,1.42265,0.57555,1.07543,0.94611,0.91463,0.96456,0.75941,0.95693,0.91442,0.96652,0.70699,0.81339,1.32767,0.4778,1.11787,0.007591,0.007591,0.007591
75,3326.63,0.79393,1.42873,0.57193,1.08395,0.93698,0.91616,0.96118,0.76072,0.93802,0.91717,0.96177,0.70668,0.79525,1.3177,0.4637,1.09472,0.007558,0.007558,0.007558
76,3368.73,0.79418,1.40879,0.57596,1.07978,0.96162,0.90384,0.96558,0.76709,0.96324,0.90536,0.96655,0.71065,0.77946,1.30251,0.45889,1.08444,0.007525,0.007525,0.007525
77,3411.09,0.79104,1.41491,0.57355,1.07685,0.96008,0.90442,0.96739,0.76394,0.9644,0.90848,0.96949,0.71274,0.78458,1.30719,0.45727,1.08526,0.007492,0.007492,0.007492
78,3453.35,0.78473,1.41661,0.56286,1.0761,0.94463,0.91667,0.96779,0.76919,0.95065,0.91565,0.96994,0.71523,0.78673,1.30951,0.4542,1.08607,0.007459,0.007459,0.007459
79,3495.56,0.78621,1.41512,0.56597,1.07276,0.96306,0.90955,0.9662,0.76692,0.96147,0.91291,0.966,0.71592,0.77757,1.28197,0.45929,1.09036,0.007426,0.007426,0.007426
80,3538.08,0.7692,1.38638,0.55211,1.07186,0.94676,0.93496,0.96903,0.77654,0.9503,0.93274,0.97206,0.72221,0.76329,1.27238,0.43192,1.08013,0.007393,0.007393,0.007393
81,3580.55,0.76801,1.37462,0.54814,1.07018,0.94552,0.92599,0.97066,0.77224,0.94742,0.92785,0.97076,0.72076,0.7657,1.29084,0.44664,1.07677,0.00736,0.00736,0.00736
82,3622.81,0.76712,1.38695,0.55161,1.06883,0.95464,0.91972,0.97001,0.77424,0.95359,0.9187,0.96957,0.72419,0.7567,1.278,0.44007,1.06792,0.007327,0.007327,0.007327
83,3665.19,0.77522,1.40071,0.55478,1.07047,0.95626,0.91102,0.96993,0.78103,0.95572,0.91033,0.9693,0.72576,0.74575,1.26161,0.44577,1.05808,0.007294,0.007294,0.007294
84,3707.3,0.75543,1.36957,0.54144,1.06318,0.95302,0.91362,0.97214,0.78817,0.95529,0.91514,0.97508,0.73425,0.73357,1.25441,0.42402,1.05927,0.007261,0.007261,0.007261
85,3749.41,0.76159,1.3771,0.53915,1.06668,0.94115,0.92633,0.97095,0.7826,0.94473,0.92939,0.97118,0.72519,0.75073,1.25403,0.43247,1.06946,0.007228,0.007228,0.007228
86,3791.23,0.76251,1.36181,0.53918,1.06524,0.95422,0.93205,0.97881,0.79654,0.95556,0.93293,0.97743,0.73667,0.72824,1.25075,0.42206,1.05078,0.007195,0.007195,0.007195
87,3833.49,0.75445,1.34408,0.53216,1.06208,0.9615,0.92683,0.97584,0.79358,0.96566,0.92886,0.97468,0.73346,0.7328,1.26052,0.4188,1.0515,0.007162,0.007162,0.007162
88,3875.74,0.74145,1.3508,0.52773,1.05013,0.95129,0.93699,0.97356,0.78828,0.95339,0.93536,0.97346,0.73037,0.73961,1.24728,0.42345,1.05546,0.007129,0.007129,0.007129
89,3917.73,0.74352,1.34583,0.5294,1.05432,0.95234,0.92276,0.96854,0.78552,0.9544,0.9253,0.97143,0.72871,0.73507,1.24928,0.43228,1.05472,0.007096,0.007096,0.007096
90,3960.32,0.74734,1.32846,0.52534,1.05356,0.95937,0.92375,0.96951,0.79324,0.96041,0.92459,0.97149,0.73386,0.72017,1.22656,0.42021,1.0418,0.007063,0.007063,0.007063
91,4002.47,0.75343,1.35144,0.5285,1.05821,0.95749,0.92715,0.97293,0.79375,0.95802,0.92766,0.97249,0.73464,0.72149,1.26682,0.41616,1.04098,0.00703,0.00703,0.00703
92,4045.03,0.74701,1.34117,0.5218,1.05858,0.95414,0.93041,0.97094,0.79581,0.95208,0.9314,0.97151,0.73525,0.71548,1.23621,0.43084,1.04385,0.006997,0.006997,0.006997
93,4087.12,0.73297,1.33535,0.51412,1.04499,0.96167,0.93052,0.97177,0.79748,0.96154,0.92988,0.97146,0.73447,0.71179,1.23024,0.41691,1.0393,0.006964,0.006964,0.006964
94,4128.86,0.73527,1.33131,0.50847,1.04995,0.95308,0.92886,0.97126,0.79637,0.95412,0.92987,0.97037,0.7365,0.70826,1.22871,0.42176,1.03425,0.006931,0.006931,0.006931
95,4171.51,0.72717,1.31571,0.52009,1.03856,0.96072,0.92073,0.97241,0.80089,0.96231,0.92226,0.97437,0.74011,0.70516,1.21515,0.41651,1.03788,0.006898,0.006898,0.006898
96,4213.57,0.73489,1.31953,0.51859,1.04825,0.95667,0.93115,0.9737,0.80067,0.96141,0.92835,0.97365,0.74268,0.70732,1.22687,0.40778,1.03588,0.006865,0.006865,0.006865
97,4255.6,0.72083,1.31614,0.4985,1.04237,0.96407,0.92716,0.97656,0.80787,0.9652,0.93006,0.978,0.7486,0.69938,1.20459,0.40302,1.03801,0.006832,0.006832,0.006832
98,4297.93,0.72003,1.29898,0.50684,1.04393,0.96058,0.92858,0.97564,0.80353,0.96118,0.92988,0.97494,0.74366,0.7004,1.20799,0.40535,1.03938,0.006799,0.006799,0.006799
