epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,2134.52,0.84375,1.48573,0.62684,1.11582,0.92846,0.90352,0.95961,0.73568,0.93672,0.90041,0.95905,0.68701,0.8728,1.41413,0.51624,1.15524,0.008383,0.008383,0.008383
51,2176.94,0.8476,1.49798,0.63893,1.11295,0.93705,0.87745,0.95421,0.73782,0.93916,0.8785,0.95614,0.68284,0.86416,1.4275,0.53589,1.14851,0.00835,0.00835,0.00835
52,2219.65,0.83265,1.46015,0.61736,1.10476,0.9308,0.88171,0.95463,0.73688,0.93617,0.88679,0.9561,0.68804,0.8582,1.40132,0.52966,1.13551,0.008317,0.008317,0.008317
53,2262.2,0.8213,1.44474,0.60696,1.09798,0.92174,0.89888,0.95622,0.73562,0.92292,0.89533,0.95547,0.68559,0.85438,1.4015,0.52505,1.13181,0.008284,0.008284,0.008284
54,2304.82,0.82024,1.45142,0.60283,1.09628,0.92526,0.90589,0.95983,0.74699,0.9346,0.90036,0.96,0.69612,0.83765,1.38952,0.49792,1.12207,0.008251,0.008251,0.008251
55,2347.76,0.81167,1.43318,0.58753,1.09158,0.93063,0.91565,0.96632,0.75016,0.93334,0.91783,0.96726,0.69917,0.82822,1.35889,0.48916,1.12667,0.008218,0.008218,0.008218
56,2390.38,0.80852,1.41587,0.58223,1.08814,0.92886,0.89561,0.95361,0.74061,0.93986,0.89634,0.95457,0.6903,0.83864,1.37129,0.50468,1.12284,0.008185,0.008185,0.008185
57,2432.99,0.81765,1.46506,0.59154,1.09148,0.92675,0.9064,0.96031,0.75205,0.93039,0.91006,0.96163,0.69947,0.8232,1.35728,0.4876,1.11018,0.008152,0.008152,0.008152
58,2475.67,0.80404,1.42348,0.58255,1.08667,0.936,0.89176,0.95768,0.75179,0.93761,0.89278,0.95797,0.6991,0.81871,1.35796,0.49616,1.11176,0.008119,0.008119,0.008119
59,2518.02,0.81125,1.43823,0.58197,1.09328,0.93303,0.91362,0.95797,0.74951,0.93707,0.91616,0.95951,0.69826,0.81002,1.32866,0.48708,1.10608,0.008086,0.008086,0.008086
